"","coef","estimate_5","mean_5","se_5","ci_5","significant_5"
"1","bx",1.30419981125644,1.26062095561879,0.438655009248348,"[0.44, 2.16]","no"
"2","pxp",0.791343074503171,0.793379681562334,0.065380502956034,"[0.66, 0.92]","no"
"3","ethnic2",0.563348629139177,0.577982579586491,0.91266523842407,"[-1.23, 2.35]","no"
"4","ethnic3",0.932205107476088,0.934600565960553,0.57900387704879,"[-0.2, 2.07]","no"
"5","ethnic4",1.19651644464601,1.07907868480602,0.643613791738029,"[-0.06, 2.46]","no"
"6","ethnic5",0.606108820631365,0.633637255132194,0.469211349769399,"[-0.31, 1.53]","no"
"7","ethnic6",1.15516370114351,1.2448060203786,1.00211397506551,"[-0.81, 3.12]","no"
"8","ethnic7",0.795475011277178,0.812849566512412,0.734739344083654,"[-0.64, 2.24]","no"
"9","ethnic8",3.89168523743951,3.46349432585977,2.8459024862817,"[-1.69, 9.47]","no"
"10","age",1.011302149837,1.01021100145947,0.00604266837442687,"[1, 1.02]","no"
"11","educ",0.897250200686286,0.895465953573456,0.0622618918633205,"[0.78, 1.02]","no"
"12","private",0.263120316001114,0.267610376571449,0.0322711449311319,"[0.2, 0.33]","no"
"13","labors",0.949754015582238,0.990507790569072,0.123136867625397,"[0.71, 1.19]","no"
"14","nchild",0.915607343675364,0.899487895368754,0.0940198973139496,"[0.73, 1.1]","no"
"15","visits",0.861783334988367,0.860620848365188,0.0113541856329607,"[0.84, 0.88]","no"
"16","nbl",31.9496013033053,33.6594773085741,5.98250680309549,"[20.22, 43.68]","yes"
"17","sex",1.33300057092892,1.32356045992475,0.0706304433516195,"[1.19, 1.47]","yes"
"18","tlabor",1.77458482891062,1.81847484485416,0.121537462692984,"[1.54, 2.01]","yes"
"19","marital2",0.699281419032791,0.697146277613791,0.0457226324235242,"[0.61, 0.79]","no"
"20","marital3",0.742883144882108,0.739153661593516,0.061472191095205,"[0.62, 0.86]","no"
"21","marital4",0.647238504470803,0.644004238025821,0.181405975029409,"[0.29, 1]","no"
"22","marital5",0.677399024544065,0.797077546885859,0.844128238589825,"[-0.98, 2.33]","no"
"23","marital6",1.3381572788969,1.35544653861652,0.843557102787179,"[-0.32, 2.99]","no"
"24","marital7",0.673180103441972,0.712456935281507,0.139446499667022,"[0.4, 0.95]","no"
"25","bx:pxp",1.42862899206691,NA,NA,"[NA, NA]",NA
"26","bx_pxp",NA,1.47886929472142,0.326425885666399,"[NA, NA]",NA
