"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",1.25159368381571,1.27419454250126,0.426705019111268,"[0.42, 2.09]","no"
"2","pxt1",0.747039468370812,0.748840618649137,0.123232116628986,"[0.51, 0.99]","no"
"3","pxt2",1.02903184090616,1.05491628545263,0.158456159920584,"[0.72, 1.34]","no"
"4","pxt3",0.988871555094339,0.995680697905776,0.120874161959679,"[0.75, 1.23]","no"
"5","ethnic2",4.3833897111185e-06,0.0517060808813571,0.231771457413569,"[-0.45, 0.45]","no"
"6","ethnic3",2.64386101041227,74059.1578055969,377166.598159288,"[-739243.89, 739249.18]","no"
"7","ethnic4",2.51536792564521,37649.8730710146,197877.242298925,"[-387836.88, 387841.91]","no"
"8","ethnic5",2.56030823880723,76498.9780955091,357322.472046945,"[-700349.48, 700354.61]","no"
"9","ethnic6",3.40658798860864,101163.077924335,453488.584534998,"[-888834.22, 888841.03]","no"
"10","ethnic7",3.91221627126433,82084.940704153,458902.132437034,"[-899444.27, 899452.09]","no"
"11","ethnic8",1.62686907722293e-05,0.213246780770986,0.950533739142739,"[-1.86, 1.86]","no"
"12","age",1.01536154323724,1.01599731608527,0.00809982739213643,"[1, 1.03]","no"
"13","educ",0.960795194492711,0.959130210503423,0.0688816184465301,"[0.83, 1.1]","no"
"14","private",0.268795034230018,0.276105935714539,0.0303438024310009,"[0.21, 0.33]","no"
"15","labors",1.01040559103933,1.07293999822878,0.200189615084879,"[0.62, 1.4]","no"
"16","nchild",0.917068599981611,0.88695390764952,0.113265721852848,"[0.7, 1.14]","no"
"17","visits",0.857746881606798,0.856266484013404,0.0149672266821013,"[0.83, 0.89]","no"
"18","nbl",19.0822830663944,21.8024699553965,6.67997973515557,"[5.99, 32.18]","yes"
"19","sex",1.04038783513938,1.03165505165641,0.0554489160302427,"[0.93, 1.15]","no"
"20","tlabor",1.81591247307113,1.84905708028983,0.136601533611226,"[1.55, 2.08]","yes"
"21","marital2",0.672402297853712,0.674158031996661,0.058521590606305,"[0.56, 0.79]","no"
"22","marital3",0.973555167598494,0.963068865495537,0.0692732533807169,"[0.84, 1.11]","no"
"23","marital4",1.18260404097197,1.19703355793577,0.294667957791938,"[0.61, 1.76]","no"
"24","marital5",2.06946318717944e-06,1.83770791479658e-06,5.47992617995913e-07,"[0, 0]","no"
"25","marital6",2.58008982657729e-06,2.29815360337817e-06,6.36174139111239e-07,"[0, 0]","no"
"26","marital7",0.660470425508314,0.658621848174127,0.102552877428035,"[0.46, 0.86]","no"
"27","bx:pxt1",1.47009690718658,NA,NA,"[NA, NA]",NA
"28","bx:pxt2",1.46066793758164,NA,NA,"[NA, NA]",NA
"29","bx:pxt3",1.31875718407836,NA,NA,"[NA, NA]",NA
"30","bx_pxt1",NA,1.52367840073249,0.378475897553828,"[NA, NA]",NA
"31","bx_pxt2",NA,1.5721179338512,0.375251677189324,"[NA, NA]",NA
"32","bx_pxt3",NA,1.39056701335344,0.334483094983392,"[NA, NA]",NA
