"","coef","estimate_7","mean_7","se_7","ci_7","significant_7"
"1","bx",0.826628200955719,0.932955211912688,0.267742328431988,"[0.3, 1.35]","no"
"2","pxp",1.03402238530554,1.03481979441958,0.049309671106036,"[0.94, 1.13]","no"
"3","ethnic2",2.79409142333247,2.80255421887112,1.28916149599424,"[0.27, 5.32]","no"
"4","ethnic3",3.96923451144297,4.27452491377116,2.1169219232321,"[-0.18, 8.12]","no"
"5","ethnic4",5.23968555064814,5.73972588416352,3.11391901037818,"[-0.86, 11.34]","no"
"6","ethnic5",2.41506452115553,2.49698991796297,0.972580440955532,"[0.51, 4.32]","no"
"7","ethnic6",3.36299331798317,3.32944455859932,1.05913804545756,"[1.29, 5.44]","yes"
"8","ethnic7",4.76782438613627,5.07875127858253,2.87492221584284,"[-0.87, 10.4]","no"
"9","ethnic8",3.20460949286373,3.33194514828505,2.15070523119789,"[-1.01, 7.42]","no"
"10","age",1.05867732912407,1.05868985387319,0.00349423509682425,"[1.05, 1.07]","yes"
"11","educ",1.26772990417325,1.27061077023699,0.0680007878799649,"[1.13, 1.4]","yes"
"12","private",9.0320243890643,9.50242149417849,1.33228545502905,"[6.42, 11.64]","yes"
"13","labors",0.862071017285789,0.865627685102759,0.0718668230560298,"[0.72, 1]","no"
"14","nchild",1.00593819412767,1.0071408601915,0.0785350864560353,"[0.85, 1.16]","no"
"15","visits",1.09740095896553,1.09694693297461,0.0166223257753595,"[1.06, 1.13]","yes"
"16","nbl",8.06450347296336,8.73961542544861,2.5960297112883,"[2.98, 13.15]","yes"
"17","sex",0.935720608263751,0.943718065198807,0.0357442521217666,"[0.87, 1.01]","no"
"18","marital2",1.04710259918052,1.03533288116139,0.0741782893165191,"[0.9, 1.19]","no"
"19","marital3",1.15641874470835,1.13825056619451,0.0920441167481464,"[0.98, 1.34]","no"
"20","marital4",1.99522449944931,1.9810133815637,0.394535699362633,"[1.22, 2.77]","yes"
"21","marital5",1.89566323882915,1.97478224078099,1.35521006840525,"[-0.76, 4.55]","no"
"22","marital6",0.576799282632307,0.618902209454524,0.327856134295334,"[-0.07, 1.22]","no"
"23","marital7",1.06855444746827,1.07582210324711,0.173981293295443,"[0.73, 1.41]","no"
"24","bx:pxp",0.871442978174728,NA,NA,"[NA, NA]",NA
"25","bx_pxp",NA,0.926052014568674,0.0981220224608527,"[NA, NA]",NA
