"","coef","estimate_7","mean_7","se_7","ci_7","significant_7"
"1","bx",-0.346139357739852,-0.377729502655556,1.11616399670219,"[-2.53, 1.84]","no"
"2","pxt1",0.574076602033842,0.638328805303,0.393706947426936,"[-0.2, 1.35]","no"
"3","pxt2",0.146306414506765,-0.019626047232,0.598599629751767,"[-1.03, 1.32]","no"
"4","pxt3",0.701610144397591,0.748933340655,0.428281824988027,"[-0.14, 1.54]","no"
"5","birth_interval1",-0.368945045972054,-0.432465833736,0.624894592426806,"[-1.59, 0.86]","no"
"6","birth_interval2",0.455474425207782,0.412604380323,0.557169098737934,"[-0.64, 1.55]","no"
"7","birth_interval3",1.37392051688378,1.286789152614,0.879614319280218,"[-0.35, 3.1]","no"
"8","age",-0.145626912175198,-0.179196347153,0.148546461454573,"[-0.44, 0.15]","no"
"9","educ",-0.117606592942692,-0.085309786731,0.204813446132608,"[-0.52, 0.28]","no"
"10","private",0.0649272139684292,0.10627744095,0.638663317473109,"[-1.19, 1.32]","no"
"11","labors",-0.157229701377322,-0.171800454349,0.298348737819762,"[-0.74, 0.43]","no"
"12","nchild",0.0817362862608814,0.110259586356,0.21160995426593,"[-0.33, 0.5]","no"
"13","visits",0.105077243360689,0.103668547444,0.0346254562153229,"[0.04, 0.17]","yes"
"14","nbl",-5.10247716419533,-5.128801626046,1.52466435030118,"[-8.09, -2.11]","yes"
"15","sex",-0.161698602744759,-0.152916358895,0.0869491877564837,"[-0.33, 0.01]","no"
"16","tlabor",0.157966618490037,0.113852045241,0.397717232735618,"[-0.62, 0.94]","no"
"17","marital2",0.0435210073587151,0.041163008288,0.166362225600014,"[-0.28, 0.37]","no"
"18","marital3",0.072736459908588,0.13298211773,0.97626760247268,"[-1.84, 1.99]","no"
"19","marital4",-4.56696819665152,-4.21005470643559,0.774667563543072,"[-6.09, -3.05]","yes"
"20","marital5",0.0545509716126389,-0.121209904955072,0.429302811812542,"[-0.79, 0.9]","no"
"21","marital6",-0.668345844897311,-0.772564052709302,1.18345499899389,"[-2.99, 1.65]","no"
"22","marital7",-0.177278303254943,-0.201257951091,0.285742568852038,"[-0.74, 0.38]","no"
"23","bx:pxt1",-1.53875462419043,NA,NA,"[NA, NA]",NA
"24","bx:pxt2",-0.15595568134469,NA,NA,"[NA, NA]",NA
"25","bx:pxt3",-1.40677007025875,NA,NA,"[NA, NA]",NA
"26","bx_pxt1",NA,-1.640415233489,0.927822753398753,"[NA, NA]",NA
"27","bx_pxt2",NA,0.061283859629,0.684091981854116,"[NA, NA]",NA
"28","bx_pxt3",NA,-0.879958733676,1.25546945113958,"[NA, NA]",NA
