"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",0.997947321589403,-9.941795742,45.6477907565659,"[-88.47, 90.47]","no"
"2","pxp",29.636683406249,26.965433915,9.3676448498414,"[11.28, 48]","yes"
"3","ethnic2",-0.861416151417846,7.338163539,73.3026269732066,"[-144.53, 142.81]","no"
"4","ethnic3",-11.647387238987,-12.421620413,72.5726876054184,"[-153.89, 130.6]","no"
"5","ethnic4",22.6803339114793,38.795834742,71.0396570769827,"[-116.56, 161.92]","no"
"6","ethnic5",9.95932071315371,11.998255594,46.4535646073922,"[-81.09, 101.01]","no"
"7","ethnic6",-66.2631326557539,-63.089640204,37.8557465697762,"[-140.46, 7.93]","no"
"8","ethnic7",-40.385877273076,-38.857584039,39.1758240505468,"[-117.17, 36.4]","no"
"9","ethnic8",-46.0866178983073,-28.596608668,160.123617921342,"[-359.93, 267.76]","no"
"10","age",3.28541027708839,3.316922583,0.783558588975472,"[1.75, 4.82]","yes"
"11","educ",20.4154857901127,20.201693038,8.96320559419827,"[2.85, 37.98]","yes"
"12","private",145.0237323326,140.097028807,24.3981069576881,"[97.2, 192.84]","yes"
"13","labors",19.7597588000099,19.526776884,15.1750400548088,"[-9.98, 49.5]","no"
"14","nchild",8.96076742254235,8.77830552,15.139074803138,"[-20.71, 38.63]","no"
"15","visits",19.2578381712155,19.138795195,2.19064387987206,"[14.96, 23.55]","yes"
"16","nbl",-911.553949308611,-909.137729892,32.602327376208,"[-975.45, -847.65]","yes"
"17","sex",-103.839542342424,-105.407252652,6.25911734025494,"[-116.11, -91.57]","yes"
"18","tlabor",-21.9773364506138,-23.190840716,13.4179293984884,"[-48.28, 4.32]","no"
"19","marital2",48.5309705723323,45.315534361,9.66694160421343,"[29.58, 67.48]","yes"
"20","marital3",43.5310537436636,40.914664431,12.4275413289077,"[19.17, 67.89]","yes"
"21","marital4",71.450530362506,67.222179729,46.9089033938974,"[-20.49, 163.39]","no"
"22","marital5",134.940992619069,102.096271433,171.177383536841,"[-200.57, 470.45]","no"
"23","marital6",85.0718519438414,77.453107958,128.39038008934,"[-166.57, 336.72]","no"
"24","marital7",90.3820301550293,81.134897295,31.3078368527502,"[29.02, 151.75]","yes"
"25","bx:pxp",-80.0222152896764,NA,NA,"[NA, NA]",NA
"26","bx_pxp",NA,-67.255078976,32.6024706341044,"[NA, NA]",NA
