"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",0.0351419885269299,0.036955849056,0.0210340261505077,"[-0.01, 0.08]","no"
"2","pxp",0.00569586762969782,0.0062946575041,0.00953132704244244,"[-0.01, 0.02]","no"
"3","ethnic2",0.0200122500657849,0.010782188198,0.0339492187054263,"[-0.05, 0.09]","no"
"4","ethnic3",-0.000126240537227753,-0.0063701757004,0.0256819257603709,"[-0.05, 0.05]","no"
"5","ethnic4",0.106928945980093,0.117335559533,0.0896693476080581,"[-0.07, 0.28]","no"
"6","ethnic5",-0.00238658032774483,-0.005488848378,0.0221750181028332,"[-0.05, 0.04]","no"
"7","ethnic6",0.0122946033050773,0.010828400071,0.017970765814082,"[-0.02, 0.05]","no"
"8","ethnic7",0.00879008219876652,0.00850105944,0.0181393802895407,"[-0.03, 0.04]","no"
"9","ethnic8",0.0779763427327992,0.067110939466,0.0883437630735417,"[-0.1, 0.25]","no"
"10","age",0.00184667974647404,0.001802118916,0.000451333522686891,"[0, 0]","yes"
"11","educ",-0.00676236473929196,-0.0076888641402,0.00428994051342281,"[-0.02, 0]","no"
"12","private",-0.00767964817244283,-0.00712766143912,0.00522611625225377,"[-0.02, 0]","no"
"13","labors",1.00915367814971,1.00940519811,0.00270965339419943,"[1, 1.01]","yes"
"14","visits",8.53712334503646e-05,0.0003075613295,0.00115761790599011,"[0, 0]","no"
"15","nbl",0.885406254481848,0.885861202002,0.024082453177,"[0.84, 0.93]","yes"
"16","sex",0.00149150279569899,0.0021150968539,0.00401128545680312,"[-0.01, 0.01]","no"
"17","tlabor",0.000252484677402776,0.0003095481946,0.00440951040072303,"[-0.01, 0.01]","no"
"18","marital2",0.00156367879301142,0.0026344486076,0.00439600037450226,"[-0.01, 0.01]","no"
"19","marital3",0.00139508720109812,0.002526597014665,0.00693666752325225,"[-0.01, 0.01]","no"
"20","marital4",-0.00781121003064702,-0.0070729791199,0.0167675367684551,"[-0.04, 0.03]","no"
"21","marital5",0.0351809357747681,0.040092207639,0.077982672751521,"[-0.12, 0.19]","no"
"22","marital6",-0.0452414986326192,-0.045638430615,0.00970663037044515,"[-0.06, -0.03]","no"
"23","marital7",0.0168049200511289,0.016010151509,0.0112493176462416,"[-0.01, 0.04]","no"
"24","bx:pxp",0.00258665140792638,NA,NA,"[NA, NA]",NA
"25","bx_pxp",NA,0.0033506098196,0.0117755409552057,"[NA, NA]",NA
