"","coef","estimate_3","mean_3","se_3","ci_3","significant_3"
"1","bx",1.2502897969294,1.36362933439142,0.627856771934655,"[0.02, 2.48]","no"
"2","pxp",0.828874338542421,0.837724273146711,0.10325640120349,"[0.63, 1.03]","no"
"3","ethnic2",4.76955879936272e-06,0.0611610039817697,0.321145223858377,"[-0.63, 0.63]","no"
"4","ethnic3",2.77196960191224,147647.925938831,981245.162514052,"[-1923237.75, 1923243.29]","no"
"5","ethnic4",2.63249781188886,18213.7783186369,134305.768081788,"[-263236.67, 263241.94]","no"
"6","ethnic5",2.67287996447072,97051.469044672,604349.541453734,"[-1184522.43, 1184527.77]","no"
"7","ethnic6",3.51828439539158,140146.251271012,790281.635173212,"[-1548948.49, 1548955.52]","no"
"8","ethnic7",4.01554245888104,17779.6897787416,104556.675603757,"[-204927.07, 204935.1]","no"
"9","ethnic8",1.62368562937512e-05,0.196221585637435,1.01918789832207,"[-2, 2]","no"
"10","age",1.01544445913987,1.01600158376038,0.00907423774724622,"[1, 1.03]","no"
"11","educ",0.958993960679873,0.959343916635878,0.0725602021204222,"[0.82, 1.1]","no"
"12","private",0.26877261016812,0.263644702434079,0.0470848562880003,"[0.18, 0.36]","no"
"13","labors",1.00517758356787,1.03910596561827,0.147937670486143,"[0.72, 1.3]","no"
"14","nchild",0.920527676542531,0.910821369129737,0.123004842056033,"[0.68, 1.16]","no"
"15","visits",0.857943039414501,0.855223430806237,0.0164756491190048,"[0.83, 0.89]","no"
"16","nbl",18.8052068966926,20.7834440576509,6.19311446313192,"[6.67, 30.94]","yes"
"17","sex",1.04158091657745,1.03502802305457,0.0534195751699789,"[0.94, 1.15]","no"
"18","tlabor",1.81290214013657,1.86701845932206,0.121808564812532,"[1.57, 2.05]","yes"
"19","marital2",0.67396868273963,0.676284797667779,0.0533473278056428,"[0.57, 0.78]","no"
"20","marital3",0.973959947816892,0.976383417312589,0.0829706570335002,"[0.81, 1.14]","no"
"21","marital4",1.20166334322092,1.17467679781204,0.318338013128763,"[0.58, 1.83]","no"
"22","marital5",2.08195677214955e-06,1.85500960625615e-06,6.3162244480489e-07,"[0, 0]","no"
"23","marital6",2.51124460155267e-06,2.24470908889991e-06,6.96153256553225e-07,"[0, 0]","no"
"24","marital7",0.656620342070559,0.640816806335459,0.115308894071403,"[0.43, 0.88]","no"
"25","bx:pxp",1.42567389295552,NA,NA,"[NA, NA]",NA
"26","bx_pxp",NA,1.62114368369354,0.562763450009411,"[NA, NA]",NA
