"","coef","estimate_3","mean_3","se_3","ci_3","significant_3"
"1","bx",109.523486440791,77.024644706,151.305100549878,"[-187.03, 406.08]","no"
"2","pxt1",121.196250954257,129.440321135,93.3989713358527,"[-61.87, 304.26]","no"
"3","pxt2",-94.1014931729686,-110.30360955,114.356021073537,"[-318.24, 130.04]","no"
"4","pxt3",64.0962968615446,39.904534286,135.869180791517,"[-202.21, 330.4]","no"
"5","birth_interval1",-23.1578054408365,-70.707118423,149.232239934472,"[-315.65, 269.34]","no"
"6","birth_interval2",80.5464663466684,56.9718986435,170.212567429373,"[-253.07, 414.16]","no"
"7","birth_interval3",130.234555822382,71.919571961,264.52169342046,"[-388.23, 648.7]","no"
"8","age",0.372929049750682,8.913421732,49.1568638466511,"[-95.97, 96.72]","no"
"9","educ",-27.6337719960463,-24.009286418,43.2083053295756,"[-112.32, 57.05]","no"
"10","private",98.2634120070435,55.49640886,107.963196034228,"[-113.34, 309.87]","no"
"11","labors",21.5927922716289,9.136331239,76.1002285493803,"[-127.56, 170.75]","no"
"12","nchild",-15.5690985514651,-2.699461988,81.3031565278608,"[-174.92, 143.79]","no"
"13","visits",16.7938707971765,17.047768663,9.67399202442564,"[-2.17, 35.75]","no"
"14","nbl",-1222.74048428509,-1240.821867343,285.294416419134,"[-1781.92, -663.56]","yes"
"15","sex",-155.381946411363,-160.57913888,25.5378813294526,"[-205.44, -105.33]","yes"
"16","tlabor",-41.5570347030902,-21.7050948,125.616508518457,"[-287.77, 204.65]","no"
"17","marital2",44.6820131815481,47.900559442,35.7292396017942,"[-25.35, 114.71]","no"
"18","marital3",-57.8435964672496,-22.592262317,192.750801092794,"[-435.64, 319.95]","no"
"19","marital4",-660.572156390019,-682.63557960625,177.009796470501,"[-1007.51, -313.63]","yes"
"20","marital5",137.412407719638,122.555053437879,64.9858546873289,"[10.04, 264.78]","yes"
"21","marital6",438.922475422879,422.531172250549,231.800523344444,"[-15.41, 893.25]","no"
"22","marital7",-37.5635979245134,-42.249924838,76.7668313494034,"[-188.03, 112.9]","no"
"23","bx:pxt1",-327.019015959585,NA,NA,"[NA, NA]",NA
"24","bx:pxt2",92.6030647327335,NA,NA,"[NA, NA]",NA
"25","bx:pxt3",-246.22911655428,NA,NA,"[NA, NA]",NA
"26","bx_pxt1",NA,-277.264713343,170.69150885784,"[NA, NA]",NA
"27","bx_pxt2",NA,128.722387574,169.019607481749,"[NA, NA]",NA
"28","bx_pxt3",NA,-170.322203904,229.10092168839,"[NA, NA]",NA
