"","coef","estimate_6","mean_6","se_6","ci_6","significant_6"
"1","bx",-5.96458861940181,-17.6275978243,41.8802094195574,"[-88.05, 76.12]","no"
"2","pxt1",24.1880451699987,23.4846364732,13.0352792052257,"[-1.36, 49.74]","no"
"3","pxt2",20.0911236956734,18.5673489683,15.470094999498,"[-10.23, 50.41]","no"
"4","pxt3",18.2577175460722,15.0601501503,16.8778873315719,"[-14.82, 51.34]","no"
"5","ethnic2",-0.286693582322708,12.0843856875,73.4120691679823,"[-144.17, 143.6]","no"
"6","ethnic3",-10.5789838994157,-16.6662129856,71.230267342123,"[-150.19, 129.03]","no"
"7","ethnic4",24.9842232497504,33.1505972451,57.953598883612,"[-88.6, 138.57]","no"
"8","ethnic5",13.2168575484563,10.6414113095,47.1042537097102,"[-79.11, 105.54]","no"
"9","ethnic6",-64.6724473130207,-64.731737424,35.2101181823767,"[-133.68, 4.34]","no"
"10","ethnic7",-38.5570332712207,-43.9389314486,39.7728491870376,"[-116.51, 39.4]","no"
"11","ethnic8",-47.1544631078117,-33.9390894838,178.251549994125,"[-396.53, 302.22]","no"
"12","age",3.29718698277688,3.1265797827,0.936385297507566,"[1.46, 5.13]","yes"
"13","educ",20.5568767339144,22.665268941,7.80356012771712,"[5.26, 35.85]","yes"
"14","private",144.959402366553,143.320473013,23.5550514082263,"[98.79, 191.13]","yes"
"15","labors",20.0301596859094,16.5443072412,15.1445026968697,"[-9.65, 49.71]","no"
"16","nchild",8.59595906414988,12.2466311186,15.1099288115333,"[-21.02, 38.21]","no"
"17","visits",19.3730554095137,19.2990652525,2.02761744824304,"[15.4, 23.35]","yes"
"18","nbl",-910.640243233677,-913.6114871672,37.3577455756394,"[-983.86, -837.42]","no"
"19","sex",-103.799002899586,-105.2986314842,7.0922395261097,"[-117.7, -89.9]","no"
"20","tlabor",-21.8405040663878,-21.4414336187,13.9242610205271,"[-49.13, 5.45]","no"
"21","marital2",48.6814767227112,48.5125827725,8.97158334997818,"[31.1, 66.27]","yes"
"22","marital3",43.7448796226633,44.2631868216,11.4745625858145,"[21.25, 66.24]","yes"
"23","marital4",73.160585494539,80.7025823776,38.5392352226581,"[-2.38, 148.7]","no"
"24","marital5",136.470147990555,129.6884721217,120.033375384108,"[-98.8, 371.74]","no"
"25","marital6",83.1195084503517,62.5135898972,132.341185402001,"[-176.27, 342.51]","no"
"26","marital7",90.3130208015344,84.2150940879,24.5707623494612,"[42.15, 138.47]","yes"
"27","bx:pxt1",-74.2853057734353,NA,NA,"[NA, NA]",NA
"28","bx:pxt2",-75.4001227467254,NA,NA,"[NA, NA]",NA
"29","bx:pxt3",-43.172068345642,NA,NA,"[NA, NA]",NA
"30","bx_pxt1",NA,-58.278948183,34.3491979374083,"[NA, NA]",NA
"31","bx_pxt2",NA,-69.9208398798,22.2336702479977,"[NA, NA]",NA
"32","bx_pxt3",NA,-28.4094397604,34.6638158764908,"[NA, NA]",NA
