"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",77.9431637965924,51.0861321131313,159.560413158087,"[-234.8, 390.68]","no"
"2","pxp",13.0398935132844,7.235954066,64.108287843279,"[-112.61, 138.69]","no"
"3","birth_interval1",-20.7374710014924,-37.813323077,152.891137489671,"[-320.4, 278.93]","no"
"4","birth_interval2",73.2371371881227,63.831098961,160.501684438192,"[-241.35, 387.82]","no"
"5","birth_interval3",132.28487253246,87.904829059,243.887164726316,"[-345.73, 610.3]","no"
"6","age",-3.69126613966069,-9.148667335,54.0711760191711,"[-109.67, 102.29]","no"
"7","educ",-24.7178397170295,-21.112015798,34.8509370448611,"[-93.03, 43.59]","no"
"8","private",88.1991637440431,71.179035115,123.34320762984,"[-153.55, 329.95]","no"
"9","labors",22.224048480848,13.4823905,85.7550501039426,"[-145.86, 190.3]","no"
"10","nchild",-18.1180395514548,-9.479030584,99.6975734153097,"[-213.53, 177.29]","no"
"11","visits",16.6619014297933,17.698743997,8.44972999895339,"[0.1, 33.22]","yes"
"12","nbl",-1221.8253656172,-1247.424604075,245.713797174014,"[-1703.42, -740.23]","yes"
"13","sex",-156.428336112612,-159.320826374,25.0178125417758,"[-205.46, -107.39]","yes"
"14","tlabor",-57.158565815418,-46.911507091,111.949752813154,"[-276.58, 162.26]","no"
"15","marital2",44.6824917376965,52.338461172,37.7617878919644,"[-29.33, 118.7]","no"
"16","marital3",-47.7183127171434,-57.149901434,184.877900801083,"[-410.08, 314.64]","no"
"17","marital4",-626.953411655228,-665.563183773333,150.824224408481,"[-922.57, -331.34]","yes"
"18","marital5",101.897166704441,105.464584079032,68.4780986161779,"[-32.32, 236.11]","no"
"19","marital6",426.167215268021,373.828275473864,337.859629597293,"[-236.04, 1088.37]","no"
"20","marital7",-31.4401443628763,-36.238737358,79.1987393819568,"[-186.67, 123.79]","no"
"21","bx:pxp",-122.395194484375,NA,NA,"[NA, NA]",NA
"22","bx_pxp",NA,-30.4451683383838,191.112858330026,"[NA, NA]",NA
