"","coef","estimate_3","mean_3","se_3","ci_3","significant_3"
"1","bx",-0.0189388316529399,-0.014308496706,0.00977403913610942,"[-0.04, 0]","no"
"2","pxp",-0.00537051753680307,-0.0050978512499,0.00392726777674536,"[-0.01, 0]","no"
"3","ethnic2",0.0181392658206351,0.0157001955531,0.0253119409153124,"[-0.03, 0.07]","no"
"4","ethnic3",-0.00364958498598451,5.81321417000001e-05,0.0159088521786528,"[-0.03, 0.03]","no"
"5","ethnic4",-0.0356524869671883,-0.034928152175,0.0185641004700025,"[-0.07, 0]","no"
"6","ethnic5",-0.0011249855817588,2.08087269999998e-06,0.0117315224895173,"[-0.02, 0.02]","no"
"7","ethnic6",-0.00758246709677069,-0.00565318789,0.0102581768559198,"[-0.03, 0.01]","no"
"8","ethnic7",0.00765722455526985,0.008300767285,0.0234886143003663,"[-0.04, 0.05]","no"
"9","ethnic8",-0.0333428525562276,-0.032828775313,0.0172042178806815,"[-0.07, 0]","no"
"10","age",-0.00034392678242907,-0.0003580544281,0.000202113232495308,"[0, 0]","no"
"11","educ",0.0030072722317885,0.0029230774279,0.00224882271232567,"[0, 0.01]","no"
"12","private",-0.0156174976268437,-0.015431290877,0.00258773049698848,"[-0.02, -0.01]","no"
"13","labors",-0.18909655719393,-0.192270962787,0.0243818084476872,"[-0.24, -0.14]","no"
"14","nchild",0.191110819918774,0.194431700521,0.0244097646312591,"[0.14, 0.24]","yes"
"15","visits",0.00149540366704707,0.001569522451,0.000564063869905717,"[0, 0]","yes"
"16","sex",0.000428902664560139,0.000655066951,0.0012772097609288,"[0, 0]","no"
"17","tlabor",0.0228333097693437,0.022636203216,0.00234807800376328,"[0.02, 0.03]","yes"
"18","marital2",-0.00351786432508654,-0.003890464395,0.00230393618545927,"[-0.01, 0]","no"
"19","marital3",0.00042479517043965,0.0002515271062,0.0027481630403093,"[0, 0.01]","no"
"20","marital4",0.00355974757258862,0.00139871373662,0.0121280833035408,"[-0.02, 0.03]","no"
"21","marital5",-0.0254337584998404,-0.026528314714,0.0174797998769323,"[-0.06, 0.01]","no"
"22","marital6",-0.00693001177407046,-0.006640416202,0.00350822954207624,"[-0.01, 0]","no"
"23","marital7",-0.00317602520696528,-0.001027731164,0.00948281919006797,"[-0.02, 0.02]","no"
"24","bx:pxp",0.000543160069316499,NA,NA,"[NA, NA]",NA
"25","bx_pxp",NA,-0.0028209354715,0.0120552086120562,"[NA, NA]",NA
