"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",0.256043557583698,0.17895694395,0.234910804096257,"[-0.2, 0.72]","no"
"2","pxp",0.0126391900344481,0.032114139991,0.063922598601731,"[-0.11, 0.14]","no"
"3","ethnic2",0.447804168220971,0.432250285605,0.516391278374387,"[-0.56, 1.46]","no"
"4","ethnic3",0.62937813466413,0.664452724486,0.435463918980291,"[-0.22, 1.48]","no"
"5","ethnic4",0.793006916664611,0.813660967511,0.367495096444477,"[0.07, 1.51]","yes"
"6","ethnic5",0.821012021392464,0.841306940438,0.34115294468731,"[0.15, 1.49]","yes"
"7","ethnic6",0.970715075228959,0.998018648661,0.30970462941895,"[0.36, 1.58]","yes"
"8","ethnic7",0.713478478123756,0.778838785342,0.385153238437222,"[-0.04, 1.47]","no"
"9","ethnic8",2.09007760813941,2.033346433801,0.660195154722351,"[0.8, 3.38]","yes"
"10","age",0.0342630542938999,0.034264104968,0.00375966464906909,"[0.03, 0.04]","yes"
"11","educ",0.306756902888072,0.302730044122,0.0302572036180899,"[0.25, 0.37]","yes"
"12","private",1.42071255910236,1.383732261988,0.172303679062268,"[1.08, 1.76]","yes"
"13","labors",-0.189742892223895,-0.197187953854,0.0845246969709094,"[-0.36, -0.02]","no"
"14","nchild",0.00624969485634958,0.011642550454,0.0796780803696998,"[-0.15, 0.16]","no"
"15","nbl",0.507181037935083,0.471974177405,0.201272243182966,"[0.11, 0.9]","yes"
"16","sex",-0.0164444308073609,-0.01776610108,0.0247506514770103,"[-0.06, 0.03]","no"
"17","tlabor",0.374228857007774,0.376264649284,0.0507753325513399,"[0.27, 0.47]","yes"
"18","marital2",-0.169612820048185,-0.169035973858,0.0521280512455569,"[-0.27, -0.07]","no"
"19","marital3",0.190277589145563,0.196011743864,0.0560061511663428,"[0.08, 0.3]","yes"
"20","marital4",0.0667236413660581,0.061388623014,0.140089925257216,"[-0.21, 0.34]","no"
"21","marital5",-0.581731749261706,-0.640303376316,0.446726714015195,"[-1.46, 0.29]","no"
"22","marital6",0.382077026986449,0.281741259858,0.479326093217878,"[-0.56, 1.32]","no"
"23","marital7",-0.112242040649128,-0.114023121994,0.0973701788272164,"[-0.3, 0.08]","no"
"24","bx:pxp",-0.222005540261285,NA,NA,"[NA, NA]",NA
"25","bx_pxp",NA,-0.242880974732,0.152968269522058,"[NA, NA]",NA
