"","coef","estimate_5","mean_5","se_5","ci_5","significant_5"
"1","bx",-49.3815189358897,-57.0083992215,52.8508796689998,"[-152.97, 54.21]","no"
"2","pxt3",8.13546207489539,9.4391888167,18.3009266884099,"[-27.73, 44.01]","no"
"3","ethnic2",-2.52019912725837,13.6311983417,79.1565698704522,"[-157.67, 152.63]","no"
"4","ethnic3",-11.1279674731189,-17.9177297102,65.9326930803847,"[-140.36, 118.1]","no"
"5","ethnic4",22.1466293169655,37.9591278735,83.72359600262,"[-141.95, 186.24]","no"
"6","ethnic5",9.85247981871496,19.6487811352,47.4779147389724,"[-83.2, 102.91]","no"
"7","ethnic6",-66.4132367555648,-58.8083113355,38.8516475053179,"[-142.56, 9.74]","no"
"8","ethnic7",-39.826426584285,-37.3089707519,42.4365100204008,"[-123, 43.35]","no"
"9","ethnic8",-49.23945040668,-45.9065667121,161.385497140315,"[-365.56, 267.08]","no"
"10","age",3.29011590438136,3.3640936552,0.794878720221573,"[1.73, 4.85]","yes"
"11","educ",20.6795525136564,22.9085936465,8.02756780418478,"[4.95, 36.41]","yes"
"12","private",144.491809889764,143.4090106761,20.711892083157,"[103.9, 185.09]","yes"
"13","labors",19.8743493756382,17.4268927757,14.4951269774727,"[-8.54, 48.28]","no"
"14","nchild",8.8626781907907,11.02713641,14.5085507671091,"[-19.57, 37.3]","no"
"15","visits",19.3537089021151,19.2345411968,2.27557530323203,"[14.89, 23.81]","yes"
"16","nbl",-911.49018963842,-911.6786159926,34.4115857415404,"[-978.94, -844.04]","no"
"17","sex",-103.958322472734,-104.6364406991,6.11462520913654,"[-115.94, -91.97]","no"
"18","tlabor",-21.7651077378154,-20.1740784838,12.6720698458161,"[-46.6, 3.07]","no"
"19","marital2",48.7619467455359,47.628644563,10.5636177195131,"[28.06, 69.47]","yes"
"20","marital3",43.7763951436482,40.5410612334,14.5657582371357,"[15.23, 72.33]","yes"
"21","marital4",71.2757131792898,67.659800822,38.8935337411089,"[-4.96, 147.51]","no"
"22","marital5",130.310028101724,104.7987829543,162.157830363875,"[-187.52, 448.14]","no"
"23","marital6",83.5073812612131,73.7604178972,104.83708661954,"[-121.97, 288.99]","no"
"24","marital7",91.7248609068773,82.3959177722,30.5435534639631,"[31.86, 151.59]","yes"
"25","bx:pxt3",4.93276593707041,NA,NA,"[NA, NA]",NA
"26","bx_pxt3",NA,6.0107610781,26.6616977739911,"[NA, NA]",NA
