"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",-33.9331215191618,-41.0298771612,41.8317730192401,"[-115.92, 48.06]","no"
"2","pxt2",14.3419693881407,12.1113387306,14.8942352689301,"[-14.85, 43.53]","no"
"3","ethnic2",-1.40466989900146,7.0614115463,78.4413981566524,"[-155.15, 152.34]","no"
"4","ethnic3",-9.52891042307392,-14.3319694395,73.2176153142811,"[-153.04, 133.98]","no"
"5","ethnic4",23.6206875947453,41.8753227596,66.8888621798239,"[-107.48, 154.72]","no"
"6","ethnic5",12.9028599660333,16.7324251788,50.8314320908138,"[-86.73, 112.53]","no"
"7","ethnic6",-65.1823427171413,-59.6491064798,33.8261982707751,"[-131.48, 1.12]","no"
"8","ethnic7",-37.9662580352604,-29.2957629937,39.5956741970909,"[-115.57, 39.64]","no"
"9","ethnic8",-46.3859075970551,-34.9060199875,162.699217060946,"[-365.28, 272.5]","no"
"10","age",3.27949606189818,3.167515292,0.748135995479038,"[1.81, 4.75]","yes"
"11","educ",20.7907493604072,21.8896305339,10.4815021728381,"[0.25, 41.33]","yes"
"12","private",144.726618548949,140.5323667667,24.3736132688216,"[96.95, 192.5]","yes"
"13","labors",19.2541479073046,17.8012697136,15.7869560325739,"[-11.69, 50.2]","no"
"14","nchild",9.3836544706863,10.8394488111,15.6334511907473,"[-21.26, 40.03]","no"
"15","visits",19.3549861851446,19.7367339708,2.05659652804517,"[15.32, 23.39]","yes"
"16","nbl",-911.846661341246,-913.9996675695,35.78175380713,"[-981.98, -841.71]","no"
"17","sex",-103.824404919713,-104.0446964403,7.01956914022004,"[-117.58, -90.07]","no"
"18","tlabor",-21.7863874823218,-24.2254834663,13.3928733493581,"[-48.04, 4.46]","no"
"19","marital2",48.6204372578101,47.4821665944,11.1535331274007,"[26.76, 70.48]","yes"
"20","marital3",43.7828210609855,41.7650288397,13.5059885495984,"[17.31, 70.25]","yes"
"21","marital4",72.301750756363,74.7677621717,45.7766209452204,"[-17.42, 162.02]","no"
"22","marital5",134.273676478586,127.3574119357,150.365710431915,"[-160.44, 428.99]","no"
"23","marital6",79.9686889724541,47.1263924854,112.810271720466,"[-141.14, 301.08]","no"
"24","marital7",90.8305014670987,81.8030339166,30.5670895755742,"[30.92, 150.74]","yes"
"25","bx:pxt2",-63.0912808714567,NA,NA,"[NA, NA]",NA
"26","bx_pxt2",NA,-57.0352599467,20.3083360553767,"[NA, NA]",NA
