"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",NA,NA,NA,"[NaN, NA]",NA
"2","pxt1",90.2505194262371,110.781906523,172.141532855675,"[-247.15, 427.65]","no"
"3","pxt2",-130.495206963507,-126.495805027,140.919066547984,"[-406.7, 145.71]","no"
"4","pxt3",74.8357857454304,62.92253852,149.111866351825,"[-217.42, 367.1]","no"
"5","birth_interval1",34.4140536776043,18.854213854,136.227188034475,"[-232.59, 301.42]","no"
"6","birth_interval2",142.159119304207,146.428753307,191.321875918691,"[-232.83, 517.15]","no"
"7","birth_interval3",218.63519891793,170.066408814,284.430376415057,"[-338.85, 776.12]","no"
"8","age",-19.1401161819691,-6.970759519,71.3635548679329,"[-159.01, 120.73]","no"
"9","educ",-19.1159794662983,-8.2608558558,58.826903775469,"[-134.42, 96.18]","no"
"10","private",17.0886931952162,30.107804638,164.105236251415,"[-304.56, 338.73]","no"
"11","labors",-13.9749283118161,12.641815378,115.260503051511,"[-239.89, 211.94]","no"
"12","nchild",13.4790265451985,-17.880094977,92.8501841618744,"[-168.51, 195.47]","no"
"13","visits",19.5775694480004,19.537250737,10.5878967177091,"[-1.17, 40.33]","no"
"14","nbl",-1368.8042991949,-1382.797507567,508.660133243825,"[-2365.78, -371.83]","yes"
"15","sex",-153.036684514781,-158.009455701,32.8382413192484,"[-217.4, -88.67]","yes"
"16","tlabor",-121.74854178505,-74.589892018,156.207466238433,"[-427.92, 184.42]","no"
"17","marital2",97.7440457265363,91.434727814,49.6292517735523,"[0.47, 195.02]","yes"
"18","marital3",-129.922198614122,-101.165882357,247.661582004852,"[-615.34, 355.49]","no"
"19","marital4",NA,NA,NA,"[NaN, NA]",NA
"20","marital6",626.96009046201,609.961273029412,143.877386885127,"[344.96, 908.96]","yes"
"21","marital7",-41.5992143963828,-36.917075757,105.871828390335,"[-249.11, 165.91]","no"
"22","bx:pxt1",-319.049654725223,NA,NA,"[NA, NA]",NA
"23","bx:pxt2",163.778646856073,NA,NA,"[NA, NA]",NA
"24","bx:pxt3",-239.289669432732,NA,NA,"[NA, NA]",NA
"25","bx_pxt1",NA,-297.477343001,215.552394438824,"[NA, NA]",NA
"26","bx_pxt2",NA,184.106083898,196.707630465482,"[NA, NA]",NA
"27","bx_pxt3",NA,-232.539425056,229.49434726585,"[NA, NA]",NA
