"","coef","estimate_1","mean_1","se_1","ci_1","significant_1"
"1","bx",-0.0320633457862047,-0.036851381895,0.0206293397534866,"[-0.07, 0.01]","no"
"2","pxp",-0.00665439919807094,-0.0072856562276,0.00760969190215085,"[-0.02, 0.01]","no"
"3","ethnic2",-0.0139872568950354,-0.013823357147,0.0340732911997059,"[-0.08, 0.05]","no"
"4","ethnic3",0.0115555012411287,0.008730132199,0.0274357152120369,"[-0.04, 0.07]","no"
"5","ethnic4",-0.0986482806821608,-0.111698535681,0.0943242863368288,"[-0.28, 0.09]","no"
"6","ethnic5",0.00255194355351323,-0.000808922476,0.0224243146358762,"[-0.04, 0.05]","no"
"7","ethnic6",-0.0126106265538592,-0.016787452847,0.0198163283754421,"[-0.05, 0.03]","no"
"8","ethnic7",-0.0169977674357702,-0.021154775102,0.0191818529138102,"[-0.05, 0.02]","no"
"9","ethnic8",-0.0853073057944244,-0.101571311582,0.0905329539433684,"[-0.26, 0.09]","no"
"10","age",0.00439255899398258,0.004543591791,0.0011823681157744,"[0, 0.01]","yes"
"11","educ",-0.0198546966175275,-0.019717688121,0.00382084735726653,"[-0.03, -0.01]","no"
"12","private",-0.000672974634156337,-0.00198489258074,0.00560523179742073,"[-0.01, 0.01]","no"
"13","nchild",0.946660737610597,0.945319945427,0.00984643467346875,"[0.93, 0.97]","yes"
"14","visits",-0.00243139386726658,-0.0024114127856,0.00136657884637367,"[-0.01, 0]","no"
"15","nbl",-0.821822428477349,-0.817892527184,0.0236395298469963,"[-0.87, -0.78]","no"
"16","sex",-0.00207804146435226,-0.0017556932881,0.00366005943465869,"[-0.01, 0.01]","no"
"17","tlabor",-0.00786119469253907,-0.007338806685,0.00485686293245704,"[-0.02, 0]","no"
"18","marital2",-0.00528780142446393,-0.005521623415,0.0049866628265946,"[-0.02, 0]","no"
"19","marital3",-0.011802541950535,-0.0129602091193,0.0104939379687673,"[-0.03, 0.01]","no"
"20","marital4",-0.011543438414049,-0.0158689877278,0.0238014558040075,"[-0.06, 0.04]","no"
"21","marital5",-0.0235026650507081,-0.0252111894064,0.0768477268495829,"[-0.17, 0.13]","no"
"22","marital6",0.0619594165944285,0.060344018583,0.0229247434019369,"[0.02, 0.11]","yes"
"23","marital7",-0.0169730694804488,-0.017155002167,0.0130328349252483,"[-0.04, 0.01]","no"
"24","bx:pxp",-0.00302214137933851,NA,NA,"[NA, NA]",NA
"25","bx_pxp",NA,-0.001860921182,0.0100517527969171,"[NA, NA]",NA
