"","coef","estimate_6","mean_6","se_6","ci_6","significant_6"
"1","bx",0.809948809535365,0.880778380962819,0.24899955876972,"[0.32, 1.3]","no"
"2","pxp",0.856584278408313,0.863103151252774,0.0780360517178594,"[0.7, 1.01]","no"
"3","ethnic2",0.433861514573096,11472.5328566669,82461.7189778362,"[-161624.54, 161625.4]","no"
"4","ethnic3",0.508336559789071,3902.84617022073,23633.2715064804,"[-46320.7, 46321.72]","no"
"5","ethnic4",3.53125835020363,32943.7497964533,189601.880691884,"[-371616.15, 371623.22]","no"
"6","ethnic5",1.41505151193855,27341.1351527812,167951.410065127,"[-329183.35, 329186.18]","no"
"7","ethnic6",1.36739166987095,23021.8020949389,134028.654368455,"[-262694.8, 262697.53]","no"
"8","ethnic7",3.95406626625806,76780.551350869,469453.027761251,"[-920123.98, 920131.89]","no"
"9","ethnic8",1.33121518418979,25099.8907043322,180717.514663125,"[-354205, 354207.66]","no"
"10","age",1.01517402356012,1.0149034617127,0.00761725883416425,"[1, 1.03]","yes"
"11","educ",1.51818763278832,1.50521448036316,0.245888858240119,"[1.04, 2]","yes"
"12","labors",0.858887752501488,0.869062620080911,0.130492870509761,"[0.6, 1.11]","no"
"13","nchild",0.94251206267957,0.950200473785001,0.135666639963933,"[0.68, 1.21]","no"
"14","visits",1.38938629303691,1.4019652874843,0.0752458815150013,"[1.24, 1.54]","yes"
"15","nbl",0.244237357368963,0.258797540764612,0.0977443497190383,"[0.05, 0.44]","no"
"16","sex",1.00103784780196,1.0004964574484,0.0468276600692778,"[0.91, 1.09]","no"
"17","tlabor",8.87118045370568,9.03139102097265,1.42630699376986,"[6.08, 11.67]","yes"
"18","marital2",0.58010300459439,0.594836857669832,0.128732596328941,"[0.33, 0.83]","no"
"19","marital3",1.17504712719026,1.2023609527108,0.213443389769357,"[0.76, 1.59]","no"
"20","marital4",1.24574516230933,1.33862396341688,0.482145622853275,"[0.3, 2.19]","no"
"21","marital5",0.554358789991285,0.49504182587744,0.685433745711368,"[-0.79, 1.9]","no"
"22","marital6",1.31841780268355,1.8354072765853,1.88274921374555,"[-2.37, 5.01]","no"
"23","marital7",2.14795266642551,2.26414663645552,0.762459911907776,"[0.65, 3.64]","no"
"24","bx:pxp",1.19529849679676,NA,NA,"[NA, NA]",NA
"25","bx_pxp",NA,1.19920595607734,0.368405445923914,"[NA, NA]",NA
