"","coef","estimate_3","mean_3","se_3","ci_3","significant_3"
"1","bx",109.52348644079,111.744383433838,170.009005095373,"[-223.69, 442.74]","no"
"2","pxt1",121.196250954256,113.009814869,128.000588199252,"[-129.68, 372.08]","no"
"3","pxt2",-94.1014931729694,-103.356075304,128.420616654695,"[-345.81, 157.6]","no"
"4","pxt3",64.0962968615467,48.7237326192,126.465188032466,"[-183.78, 311.97]","no"
"5","birth_interval1",-23.1578054408386,-51.680790016,147.041459873508,"[-311.36, 265.04]","no"
"6","birth_interval2",80.5464663466642,70.0749152348,160.799482062693,"[-234.62, 395.71]","no"
"7","birth_interval3",130.234555822376,81.9167979044,249.057660079654,"[-357.92, 618.39]","no"
"8","age",0.37292904975084,9.2440243189,58.9840637501147,"[-115.24, 115.98]","no"
"9","educ",-27.6337719960464,-19.5787716197,41.7226394971588,"[-109.41, 54.14]","no"
"10","private",98.2634120070435,65.5888463065,111.597785233112,"[-120.47, 317]","no"
"11","labors",21.592792271629,29.1357760398,75.4589564918793,"[-126.31, 169.49]","no"
"12","nchild",-15.5690985514648,-25.021143301127,69.1910339950558,"[-151.18, 120.05]","no"
"13","visits",16.7938707971765,16.6529248175,7.73852394062861,"[1.63, 31.96]","yes"
"14","nbl",-1222.74048428509,-1227.3935613635,314.151313415918,"[-1838.48, -607]","yes"
"15","sex",-155.381946411363,-161.2115463123,23.6847725130796,"[-201.8, -108.96]","yes"
"16","tlabor",-41.5570347030901,-15.2433903133,116.685064333709,"[-270.26, 187.15]","no"
"17","marital2",44.6820131815478,42.5111010091,36.6257547138609,"[-27.1, 116.47]","no"
"18","marital3",-57.8435964672485,-46.8029742743,155.067924414006,"[-361.78, 246.09]","no"
"19","marital4",-660.572156390017,-668.893624565373,183.086491242351,"[-1019.42, -301.72]","yes"
"20","marital5",137.412407719636,111.901806787213,78.1516489921298,"[-15.76, 290.59]","no"
"21","marital6",438.922475422881,382.720463366774,278.552003724417,"[-107.04, 984.88]","no"
"22","marital7",-37.5635979245136,-35.0385262322,68.3408975784746,"[-171.51, 96.38]","no"
"23","bx_pxt1",-327.019015959585,-253.3812174264,191.358559835816,"[-702.08, 48.04]","no"
"24","bx_pxt2",92.6030647327344,118.509458042828,177.545644272926,"[-255.39, 440.59]","no"
"25","bx_pxt3",-246.229116554283,-162.1881084088,255.002587073878,"[-746.03, 253.58]","no"
