"","coef","estimate_6","mean_6","se_6","ci_6","significant_6"
"1","bx",1.24919318362547,1.3077687247198,0.433667246394773,"[0.4, 2.1]","no"
"2","pxt1",0.713732627942102,0.706329167304944,0.0880858443867426,"[0.54, 0.89]","yes"
"3","pxt2",0.848898138310114,0.84680240293063,0.0770547803393389,"[0.7, 1]","yes"
"4","pxt3",0.868975170783561,0.87429028997368,0.0691213770068375,"[0.73, 1]","no"
"5","ethnic2",0.542852378960742,0.690982916121532,0.825888348347371,"[-1.08, 2.16]","no"
"6","ethnic3",0.910384676650812,1.00862728111479,0.696801839912151,"[-0.46, 2.28]","no"
"7","ethnic4",1.16212337865388,1.23714532865887,0.690284173698544,"[-0.19, 2.52]","no"
"8","ethnic5",0.588406340517383,0.655134566652489,0.418745122535022,"[-0.23, 1.41]","no"
"9","ethnic6",1.1327759667216,1.26870454428539,0.758152481131878,"[-0.35, 2.62]","no"
"10","ethnic7",0.784961416972074,0.836643783532503,0.543891552188972,"[-0.28, 1.85]","no"
"11","ethnic8",3.97434646820819,4.52041852616162,4.27053571739675,"[-4.4, 12.34]","no"
"12","age",1.01119010012359,1.01209372211937,0.00528365430749656,"[1, 1.02]","yes"
"13","educ",0.896860509243282,0.898436310782742,0.0602226573242863,"[0.78, 1.01]","no"
"14","private",0.263181711188264,0.263776430459478,0.033085063839248,"[0.2, 0.33]","yes"
"15","labors",0.953836268848324,0.981089733313701,0.131793104190901,"[0.7, 1.21]","no"
"16","nchild",0.913116145821489,0.900693558953204,0.107613031092139,"[0.7, 1.12]","no"
"17","visits",0.861157865774772,0.860581724872209,0.0134517008031997,"[0.83, 0.89]","yes"
"18","nbl",32.1983774250919,34.7503474818339,6.43547564873769,"[19.58, 44.81]","yes"
"19","sex",1.33218434575219,1.34406764916443,0.0713654398683309,"[1.19, 1.47]","yes"
"20","tlabor",1.77622104607038,1.77685164063774,0.100069991303087,"[1.58, 1.97]","yes"
"21","marital2",0.699293318496236,0.693081894131934,0.0443056863837498,"[0.61, 0.79]","yes"
"22","marital3",0.742654106993747,0.73166512932967,0.0602699348651101,"[0.62, 0.86]","yes"
"23","marital4",0.634042604106695,0.610301183611421,0.16729705742294,"[0.31, 0.96]","yes"
"24","marital5",0.662137670670948,0.790187046242413,0.905239131491005,"[-1.11, 2.44]","no"
"25","marital6",1.36981917503218,1.4926127928183,1.06897641063908,"[-0.73, 3.47]","no"
"26","marital7",0.678747489831095,0.668957232804922,0.120091950819122,"[0.44, 0.91]","yes"
"27","bx_pxt1",1.568149227451,1.6548228726226,0.293925874431752,"[0.99, 2.14]","no"
"28","bx_pxt2",1.79943737609998,1.83009151572785,0.26863152800059,"[1.27, 2.33]","yes"
"29","bx_pxt3",1.20350993719392,1.29391874451338,0.332916057911956,"[0.55, 1.86]","no"
