"","coef","estimate_5","mean_5","se_5","ci_5","significant_5"
"1","bx",-49.3815189358897,-60.6940106582,46.7713131346658,"[-141.05, 42.29]","no"
"2","pxt3",8.13546207489539,6.7479558348,17.6310363664214,"[-26.42, 42.69]","no"
"3","ethnic2",-2.52019912725837,7.2082324984,88.5281110583213,"[-176.04, 170.99]","no"
"4","ethnic3",-11.1279674731189,-14.9541812931,75.5840242358369,"[-159.27, 137.02]","no"
"5","ethnic4",22.1466293169655,29.9308172706,67.7652010149784,"[-110.67, 154.97]","no"
"6","ethnic5",9.85247981871496,10.6957616933,52.5403890029118,"[-93.13, 112.83]","no"
"7","ethnic6",-66.4132367555648,-65.3056132697,40.3865712149264,"[-145.57, 12.74]","no"
"8","ethnic7",-39.826426584285,-32.2968557921,39.1972678697294,"[-116.65, 37]","no"
"9","ethnic8",-49.23945040668,-25.3480585587,173.971974676789,"[-390.22, 291.75]","no"
"10","age",3.29011590438136,3.2955733326,0.911191460921973,"[1.5, 5.08]","yes"
"11","educ",20.6795525136564,20.2615690743,9.09741642886645,"[2.85, 38.51]","yes"
"12","private",144.491809889764,140.6921334013,23.2299734725279,"[98.96, 190.02]","yes"
"13","labors",19.8743493756382,20.5148583905,14.0367959139167,"[-7.64, 47.39]","no"
"14","nchild",8.8626781907907,8.1069862387,13.894631134011,"[-18.37, 36.1]","no"
"15","visits",19.3537089021151,19.5690589056,2.19895695045027,"[15.04, 23.66]","yes"
"16","nbl",-911.49018963842,-911.5251178714,37.1180236113383,"[-984.24, -838.74]","yes"
"17","sex",-103.958322472734,-104.2709941644,6.04926838687355,"[-115.81, -92.1]","yes"
"18","tlabor",-21.7651077378154,-25.0542660808,14.7609683040931,"[-50.7, 7.17]","no"
"19","marital2",48.7619467455359,48.6555044751,10.2319649817788,"[28.71, 68.82]","yes"
"20","marital3",43.7763951436482,44.7400405019,11.6020896151411,"[21.04, 66.52]","yes"
"21","marital4",71.2757131792898,80.9670537366,46.0877926394779,"[-19.06, 161.61]","no"
"22","marital5",130.310028101724,121.8999672847,153.465304749655,"[-170.48, 431.1]","no"
"23","marital6",83.5073812612131,58.9946487692,127.155373573586,"[-165.72, 332.73]","no"
"24","marital7",91.7248609068773,86.013427044,26.8523655026642,"[39.09, 144.36]","yes"
"25","bx_pxt3",4.93276593707041,7.8510716347,23.6367808395835,"[-41.4, 51.26]","no"
