"","coef","estimate_5","mean_5","se_5","ci_5","significant_5"
"1","bx",1.30419981125644,1.37551489370133,0.461564766798925,"[0.4, 2.21]","no"
"2","pxp",0.791343074503171,0.795931967872127,0.0623965158340979,"[0.67, 0.91]","yes"
"3","ethnic2",0.563348629139177,0.502987232084629,0.707281950105112,"[-0.82, 1.95]","no"
"4","ethnic3",0.932205107476088,0.903010546163219,0.500890042331924,"[-0.05, 1.91]","no"
"5","ethnic4",1.19651644464601,1.1994194081209,0.825717226293988,"[-0.42, 2.81]","no"
"6","ethnic5",0.606108820631365,0.605949317142873,0.35329606123445,"[-0.09, 1.3]","no"
"7","ethnic6",1.15516370114351,1.15733290682294,0.616043303019521,"[-0.05, 2.36]","no"
"8","ethnic7",0.795475011277178,0.832396818235242,0.735972693747948,"[-0.65, 2.24]","no"
"9","ethnic8",3.89168523743951,3.84627180480207,3.13487910387807,"[-2.25, 10.04]","no"
"10","age",1.011302149837,1.01110395681664,0.0057474505656537,"[1, 1.02]","yes"
"11","educ",0.897250200686286,0.890029976356141,0.0627830196492326,"[0.77, 1.02]","no"
"12","private",0.263120316001114,0.260369657513037,0.0347842648821308,"[0.19, 0.33]","yes"
"13","labors",0.949754015582238,1.01845087581044,0.180470198622338,"[0.6, 1.3]","no"
"14","nchild",0.915607343675364,0.884477111125316,0.119441632818872,"[0.68, 1.15]","no"
"15","visits",0.861783334988367,0.861045544063404,0.0138503654197478,"[0.83, 0.89]","yes"
"16","nbl",31.9496013033053,33.969031518076,6.25855319818867,"[19.68, 44.22]","yes"
"17","sex",1.33300057092892,1.32549602937205,0.0740178191411045,"[1.19, 1.48]","yes"
"18","tlabor",1.77458482891062,1.79965936501299,0.12643506127355,"[1.53, 2.02]","yes"
"19","marital2",0.699281419032791,0.691487247100681,0.0596928033962887,"[0.58, 0.82]","yes"
"20","marital3",0.742883144882108,0.724450689129917,0.0739411862783505,"[0.6, 0.89]","yes"
"21","marital4",0.647238504470803,0.610654728218199,0.183473617587041,"[0.29, 1.01]","no"
"22","marital5",0.677399024544065,0.900845280956878,1.21586221880277,"[-1.71, 3.06]","no"
"23","marital6",1.3381572788969,1.33582742072076,0.798164029206851,"[-0.23, 2.9]","no"
"24","marital7",0.673180103441972,0.722967347131768,0.157836299526039,"[0.36, 0.98]","yes"
"25","bx_pxp",1.42862899206691,1.46819458590717,0.411669014636497,"[0.62, 2.24]","no"
