"","coef","estimate_6","mean_6","se_6","ci_6","significant_6"
"1","bx",0.809948809535365,0.84857720214181,0.217067634022449,"[0.38, 1.24]","no"
"2","pxp",0.856584278408313,0.861956737513901,0.0543020741344987,"[0.75, 0.96]","yes"
"3","ethnic2",0.433861514573096,1916.03125265201,19154.3554519669,"[-37542.1, 37542.97]","no"
"4","ethnic3",0.508336559789071,1482.50619881016,14817.7380024011,"[-29042.26, 29043.27]","no"
"5","ethnic4",3.53125835020363,4399.62770554231,43952.9029269268,"[-86144.16, 86151.22]","no"
"6","ethnic5",1.41505151193855,4154.52371332214,41525.4404091976,"[-81388.45, 81391.28]","no"
"7","ethnic6",1.36739166987095,2850.37795819124,28485.7453220088,"[-55830.69, 55833.43]","no"
"8","ethnic7",3.95406626625806,6822.73427334038,68173.7958349671,"[-133616.69, 133624.59]","no"
"9","ethnic8",1.33121518418979,6475.73857809292,64740.6091272693,"[-126890.26, 126892.93]","no"
"10","age",1.01517402356012,1.01637571621042,0.00748543508164358,"[1, 1.03]","yes"
"11","educ",1.51818763278832,1.49399797029991,0.276680748346794,"[0.98, 2.06]","no"
"12","labors",0.858887752501488,0.859866295086011,0.120512660692689,"[0.62, 1.1]","no"
"13","nchild",0.94251206267957,0.948631859174815,0.118451397238448,"[0.71, 1.17]","no"
"14","visits",1.38938629303691,1.38750749252136,0.0664256432454182,"[1.26, 1.52]","yes"
"15","nbl",0.244237357368963,0.258069311435762,0.0894421401129935,"[0.07, 0.42]","yes"
"16","sex",1.00103784780196,1.01200265461739,0.0418172877688939,"[0.92, 1.08]","no"
"17","tlabor",8.87118045370568,9.33017665433146,1.42853128578293,"[6.07, 11.67]","yes"
"18","marital2",0.58010300459439,0.598725530098089,0.121975424294712,"[0.34, 0.82]","yes"
"19","marital3",1.17504712719026,1.21403708140336,0.20216517349834,"[0.78, 1.57]","no"
"20","marital4",1.24574516230933,1.30717997787737,0.420463761295087,"[0.42, 2.07]","no"
"21","marital5",0.554358789991285,67126.2867928319,671255.994154842,"[-1315661.19, 1315662.3]","no"
"22","marital6",1.31841780268355,1.71895009446187,1.47819684136185,"[-1.58, 4.22]","no"
"23","marital7",2.14795266642551,2.28788092146569,0.77305846816995,"[0.63, 3.66]","no"
"24","bx_pxp",1.19529849679676,1.23992756400168,0.33792920715871,"[0.53, 1.86]","no"
