"","coef","estimate_8","mean_8","se_8","ci_8","significant_8"
"1","bx",NA,NA,NA,"[NaN, NA]",NA
"2","pxt1",0.395609545269279,0.508696009577,0.589765058725421,"[-0.76, 1.55]","no"
"3","pxt2",0.3217981832544,0.224767389766,0.71386417957585,"[-1.08, 1.72]","no"
"4","pxt3",0.674211808031513,0.797889982293,0.478159753399473,"[-0.26, 1.61]","no"
"5","birth_interval1",-0.306138016039239,-0.192029530908,0.624762094514365,"[-1.53, 0.92]","no"
"6","birth_interval2",0.587717314529525,0.66367974693,0.603287419477457,"[-0.59, 1.77]","no"
"7","birth_interval3",1.63156305113128,1.665867860726,0.937970119120979,"[-0.21, 3.47]","no"
"8","age",-0.0848246507130735,-0.077614820756,0.241129249530225,"[-0.56, 0.39]","no"
"9","educ",-0.192503328060073,-0.178180085134,0.271247172462614,"[-0.72, 0.34]","no"
"10","private",-0.319669318911764,-0.308889244431,0.693081334156363,"[-1.68, 1.04]","no"
"11","labors",-0.300652470573408,-0.358054934129,0.624767820070341,"[-1.53, 0.92]","no"
"12","nchild",0.29191830200064,0.318438794073,0.464081316774716,"[-0.62, 1.2]","no"
"13","visits",0.112701103148201,0.110868990089,0.0438214674186815,"[0.03, 0.2]","yes"
"14","nbl",-6.29951536941446,-6.681148107842,2.29281466089286,"[-10.79, -1.81]","yes"
"15","sex",-0.060974338718351,-0.067131914642,0.129720767124463,"[-0.32, 0.19]","no"
"16","tlabor",-0.326675009335597,-0.236823748172,0.459867278634091,"[-1.23, 0.57]","no"
"17","marital2",0.232336857437916,0.195672152521,0.24524890034144,"[-0.25, 0.71]","no"
"18","marital3",0.123076771213825,0.176234184314,1.12543756318256,"[-2.08, 2.33]","no"
"19","marital4",NA,NA,NA,"[NaN, NA]",NA
"20","marital6",-2.03962871810154,-2.09633427303667,0.974458350119494,"[-3.95, -0.13]","yes"
"21","marital7",-0.454263513310928,-0.423245120201,0.423629242428223,"[-1.28, 0.38]","no"
"22","bx_pxt1",-1.61413203500274,-1.72382733086122,0.839780424633101,"[-3.26, 0.03]","no"
"23","bx_pxt2",-0.438613003083047,-0.369299946668367,0.765855851877412,"[-1.94, 1.06]","no"
"24","bx_pxt3",-1.50823262788855,-1.22578437771717,1.04512490505893,"[-3.56, 0.54]","no"
