"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",1.25159368381571,1.37479959216967,0.570705192036562,"[0.13, 2.37]","no"
"2","pxt1",0.747039468370812,0.74407491803254,0.13357820398513,"[0.49, 1.01]","no"
"3","pxt2",1.02903184090616,1.09176924563138,0.170265131302248,"[0.7, 1.36]","no"
"4","pxt3",0.988871555094339,0.968303324825639,0.100801781085686,"[0.79, 1.19]","no"
"5","ethnic2",4.3833897111185e-06,0.0441246451580271,0.208626441811478,"[-0.41, 0.41]","yes"
"6","ethnic3",2.64386101041227,77941.2963686515,393303.033972531,"[-770871.3, 770876.59]","no"
"7","ethnic4",2.51536792564521,44051.9039326747,205906.587152827,"[-403574.4, 403579.43]","no"
"8","ethnic5",2.56030823880723,68636.7970727788,308392.837805904,"[-604447.4, 604452.52]","no"
"9","ethnic6",3.40658798860864,91555.2090115357,420325.088093464,"[-823833.77, 823840.58]","no"
"10","ethnic7",3.91221627126433,34147.0729657754,183942.489275849,"[-360523.37, 360531.19]","no"
"11","ethnic8",1.62686907722293e-05,0.183343913426579,0.837641363360916,"[-1.64, 1.64]","no"
"12","age",1.01536154323724,1.01556349927299,0.00890857993226814,"[1, 1.03]","no"
"13","educ",0.960795194492711,0.962470757449035,0.0726722665973466,"[0.82, 1.1]","no"
"14","private",0.268795034230018,0.270519927473186,0.0369319480253855,"[0.2, 0.34]","yes"
"15","labors",1.01040559103933,1.02620930672555,0.113822526781393,"[0.79, 1.23]","no"
"16","nchild",0.917068599981611,0.915184915775284,0.0939918322013518,"[0.73, 1.1]","no"
"17","visits",0.857746881606798,0.858482706929321,0.0152330034074334,"[0.83, 0.89]","yes"
"18","nbl",19.0822830663944,21.0093318606748,5.5584195531498,"[8.19, 29.98]","yes"
"19","sex",1.04038783513938,1.03084070057597,0.0493602104140474,"[0.94, 1.14]","no"
"20","tlabor",1.81591247307113,1.84541632031506,0.12500475484775,"[1.57, 2.06]","yes"
"21","marital2",0.672402297853712,0.67592614211459,0.0542924507889298,"[0.57, 0.78]","yes"
"22","marital3",0.973555167598494,0.976487674969393,0.0720312763170098,"[0.83, 1.11]","no"
"23","marital4",1.18260404097197,1.19779462767605,0.287074303396074,"[0.62, 1.75]","no"
"24","marital5",2.06946318717944e-06,1.94523434529109e-06,6.16924410362948e-07,"[0, 0]","yes"
"25","marital6",2.58008982657729e-06,2.30316933868951e-06,6.7477884030851e-07,"[0, 0]","yes"
"26","marital7",0.660470425508314,0.650473043308193,0.115659783333003,"[0.43, 0.89]","yes"
"27","bx_pxt1",1.47009690718658,1.59528201124614,0.338571657407614,"[0.81, 2.13]","no"
"28","bx_pxt2",1.46066793758164,1.52625200595449,0.418296700386655,"[0.64, 2.28]","no"
"29","bx_pxt3",1.31875718407836,1.45602350860043,0.329057837188922,"[0.67, 1.96]","no"
