"","coef","estimate_6","mean_6","se_6","ci_6","significant_6"
"1","bx",-0.642843872603592,-0.601771831327835,0.976364512915975,"[-2.56, 1.27]","no"
"2","pxp",0.534773603533284,0.603963306673,0.497851382020397,"[-0.44, 1.51]","no"
"3","birth_interval1",-0.348426317480927,-0.347305559766,0.610588055472907,"[-1.55, 0.85]","no"
"4","birth_interval2",0.438322386177844,0.427025052958,0.517773367732551,"[-0.58, 1.45]","no"
"5","birth_interval3",1.38899834903942,1.327017461175,0.815414764242442,"[-0.21, 2.99]","no"
"6","age",-0.16367178604162,-0.151270650838,0.187238923749678,"[-0.53, 0.2]","no"
"7","educ",-0.11277158872313,-0.063307792754,0.21875332193623,"[-0.54, 0.32]","no"
"8","private",0.0052169016503409,0.008236476326,0.66114474068745,"[-1.29, 1.3]","no"
"9","labors",-0.160475747851213,-0.190102501077,0.343837236701701,"[-0.83, 0.51]","no"
"10","nchild",0.0751853415949492,0.093380354731,0.294648639309061,"[-0.5, 0.65]","no"
"11","visits",0.106225831303856,0.107387895992,0.0309821406417785,"[0.05, 0.17]","yes"
"12","nbl",-5.08091024091237,-5.103849821704,1.55592568375045,"[-8.13, -2.03]","yes"
"13","sex",-0.167820879213825,-0.154591933229,0.0781492375604047,"[-0.32, -0.01]","yes"
"14","tlabor",0.117152453102752,0.210890093452,0.387791025355315,"[-0.64, 0.88]","no"
"15","marital2",0.0457986055388692,0.044719171374,0.183360320236413,"[-0.31, 0.41]","no"
"16","marital3",0.0202432210665427,0.108640681725,0.879192977554141,"[-1.7, 1.74]","no"
"17","marital4",-4.53105146608024,-4.16328885331507,0.710648102706045,"[-5.92, -3.14]","yes"
"18","marital5",0.00778962277768963,-0.0893778177345455,0.378944942332076,"[-0.73, 0.75]","no"
"19","marital6",-0.789449457938342,-1.0584157084931,0.903927071123004,"[-2.56, 0.98]","no"
"20","marital7",-0.143894207952568,-0.216783571727,0.352435123279834,"[-0.83, 0.55]","no"
"21","bx_pxp",-0.268269699151937,-0.41389904165,0.678575062268802,"[-1.6, 1.06]","no"
