"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",77.9431637965924,51.381295323,168.465078211757,"[-252.25, 408.13]","no"
"2","pxp",13.0398935132844,0.274389039,71.6647891150605,"[-127.42, 153.5]","no"
"3","birth_interval1",-20.7374710014924,-40.877370871,129.90950402343,"[-275.36, 233.89]","no"
"4","birth_interval2",73.2371371881227,81.588971428,169.228794657885,"[-258.45, 404.93]","no"
"5","birth_interval3",132.28487253246,103.953710615,268.838266117648,"[-394.64, 659.21]","no"
"6","age",-3.69126613966069,3.579162986,55.3525269219042,"[-112.18, 104.8]","no"
"7","educ",-24.7178397170295,-18.022211873,41.6790380443287,"[-106.41, 56.97]","no"
"8","private",88.1991637440431,54.787732102,123.848047254096,"[-154.54, 330.94]","no"
"9","labors",22.224048480848,27.778277974,75.8556951813982,"[-126.45, 170.9]","no"
"10","nchild",-18.1180395514548,-29.753366064,68.1570132180211,"[-151.71, 115.47]","no"
"11","visits",16.6619014297933,17.463599544,8.24751819142608,"[0.5, 32.83]","yes"
"12","nbl",-1221.8253656172,-1175.378154005,289.012250244384,"[-1788.29, -655.36]","yes"
"13","sex",-156.428336112612,-158.334893858,26.6350747806403,"[-208.63, -104.22]","yes"
"14","tlabor",-57.158565815418,-41.811375925,127.455585525384,"[-306.97, 192.65]","no"
"15","marital2",44.6824917376965,43.152846825,35.3149800695184,"[-24.53, 113.9]","no"
"16","marital3",-47.7183127171434,-39.275885195,189.263848506481,"[-418.68, 323.24]","no"
"17","marital4",-626.953411655228,-663.027660642424,168.885132051962,"[-957.97, -295.94]","yes"
"18","marital5",101.897166704441,94.3753145313433,65.1221217043922,"[-25.74, 229.54]","no"
"19","marital6",426.167215268021,358.727668427586,265.116392715563,"[-93.46, 945.8]","no"
"20","marital7",-31.4401443628763,-42.845357305,89.3847070959765,"[-206.63, 143.75]","no"
"21","bx_pxp",-122.395194484375,-38.841564162,196.321310173326,"[-507.18, 262.39]","no"
