"","coef","estimate_7","mean_7","se_7","ci_7","significant_7"
"1","bx",-0.346139357739855,-0.150024832632653,1.10406615513279,"[-2.51, 1.82]","no"
"2","pxt1",0.574076602033841,0.638489207688,0.316532644021707,"[-0.05, 1.19]","no"
"3","pxt2",0.146306414506764,0.019247348681,0.624253154712697,"[-1.08, 1.37]","no"
"4","pxt3",0.701610144397595,0.730199300556,0.467364035805146,"[-0.21, 1.62]","no"
"5","birth_interval1",-0.368945045972043,-0.334642956604,0.641980701154302,"[-1.63, 0.89]","no"
"6","birth_interval2",0.455474425207804,0.453588792174,0.527323642534562,"[-0.58, 1.49]","no"
"7","birth_interval3",1.37392051688381,1.306346409574,0.757651459645027,"[-0.11, 2.86]","no"
"8","age",-0.145626912175198,-0.167465663165,0.180330860185447,"[-0.5, 0.21]","no"
"9","educ",-0.117606592942691,-0.114441359489,0.190177492809379,"[-0.49, 0.26]","no"
"10","private",0.0649272139684289,0.168755117707,0.659644499820071,"[-1.23, 1.36]","no"
"11","labors",-0.157229701377324,-0.195961618866,0.350607365547265,"[-0.84, 0.53]","no"
"12","nchild",0.0817362862608821,0.108613302015,0.339924811572927,"[-0.58, 0.75]","no"
"13","visits",0.105077243360689,0.110781120038,0.0337706110322158,"[0.04, 0.17]","yes"
"14","nbl",-5.1024771641953,-5.253548614678,1.37946853373094,"[-7.81, -2.4]","yes"
"15","sex",-0.16169860274476,-0.160436686518,0.0797898329323926,"[-0.32, -0.01]","yes"
"16","tlabor",0.157966618490037,0.23462989934,0.409815063857831,"[-0.65, 0.96]","no"
"17","marital2",0.0435210073587155,0.0553606060545,0.205751434713491,"[-0.36, 0.45]","no"
"18","marital3",0.0727364599085914,0.150921825328,0.875914106961034,"[-1.64, 1.79]","no"
"19","marital4",-4.56696819665152,-4.09591954907966,0.844335361871567,"[-6.22, -2.91]","yes"
"20","marital5",0.0545509716126396,-0.114085481427941,0.466673789624642,"[-0.86, 0.97]","no"
"21","marital6",-0.668345844897314,-0.616786889773864,1.29740449569411,"[-3.21, 1.87]","no"
"22","marital7",-0.177278303254942,-0.204580023822,0.339058803494353,"[-0.84, 0.49]","no"
"23","bx_pxt1",-1.53875462419044,-1.421675147803,0.881834973165618,"[-3.27, 0.19]","no"
"24","bx_pxt2",-0.155955681344691,-0.075195754362,0.829412057068189,"[-1.78, 1.47]","no"
"25","bx_pxt3",-1.40677007025876,-1.01857638819596,0.955945800453229,"[-3.28, 0.47]","no"
