"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",0.256043557583698,0.184474301463,0.246848020737114,"[-0.23, 0.74]","no"
"2","pxp",0.0126391900344481,0.026917178823,0.0681203656366144,"[-0.12, 0.15]","no"
"3","ethnic2",0.447804168220971,0.378244637413,0.523042723055332,"[-0.58, 1.47]","no"
"4","ethnic3",0.62937813466413,0.613002716671,0.458998537210525,"[-0.27, 1.53]","no"
"5","ethnic4",0.793006916664611,0.760409394154,0.345502384865092,"[0.12, 1.47]","yes"
"6","ethnic5",0.821012021392464,0.805136811941,0.358437247920728,"[0.12, 1.52]","yes"
"7","ethnic6",0.970715075228959,0.952163377505,0.310129540698369,"[0.36, 1.58]","yes"
"8","ethnic7",0.713478478123756,0.72639879844,0.387019400585922,"[-0.05, 1.47]","no"
"9","ethnic8",2.09007760813941,2.031752450224,0.763127269153068,"[0.59, 3.59]","yes"
"10","age",0.0342630542938999,0.034440560926,0.0037467867487683,"[0.03, 0.04]","yes"
"11","educ",0.306756902888072,0.301602796749,0.0298052559597196,"[0.25, 0.37]","yes"
"12","private",1.42071255910236,1.419336658156,0.183653537022627,"[1.06, 1.78]","yes"
"13","labors",-0.189742892223895,-0.208952131464,0.0863960194133693,"[-0.36, -0.02]","yes"
"14","nchild",0.00624969485634958,0.02121219776968,0.0797914622780666,"[-0.15, 0.16]","no"
"15","nbl",0.507181037935083,0.473715162741,0.19230060436443,"[0.13, 0.88]","yes"
"16","sex",-0.0164444308073609,-0.011825389406,0.0252993625613945,"[-0.07, 0.03]","no"
"17","tlabor",0.374228857007774,0.375964511736,0.057073939316525,"[0.26, 0.49]","yes"
"18","marital2",-0.169612820048185,-0.16571845563,0.047866013563558,"[-0.26, -0.08]","yes"
"19","marital3",0.190277589145563,0.194707468449,0.0421690092897508,"[0.11, 0.27]","yes"
"20","marital4",0.0667236413660581,0.076363458261,0.197594875235127,"[-0.32, 0.45]","no"
"21","marital5",-0.581731749261706,-0.617874361208,0.454900246117731,"[-1.47, 0.31]","no"
"22","marital6",0.382077026986449,0.313484851183,0.458747135194312,"[-0.52, 1.28]","no"
"23","marital7",-0.112242040649128,-0.123376942738,0.112760697212429,"[-0.33, 0.11]","no"
"24","bx_pxp",-0.222005540261285,-0.247099146575,0.129428249179433,"[-0.48, 0.03]","no"
