"","coef","estimate_1","mean_1","se_1","ci_1","significant_1"
"1","bx",-0.0320633457862047,-0.034844274753,0.0214617609157697,"[-0.07, 0.01]","no"
"2","pxp",-0.00665439919807094,-0.0075551517873,0.00714585583102298,"[-0.02, 0.01]","no"
"3","ethnic2",-0.0139872568950354,-0.0133585385928,0.0308850037132572,"[-0.07, 0.05]","no"
"4","ethnic3",0.0115555012411287,0.009709510516,0.0253074400018799,"[-0.04, 0.06]","no"
"5","ethnic4",-0.0986482806821608,-0.103120696783,0.0940791069381208,"[-0.28, 0.09]","no"
"6","ethnic5",0.00255194355351323,0.000396947935,0.0216653511750294,"[-0.04, 0.05]","no"
"7","ethnic6",-0.0126106265538592,-0.017146334714,0.0194398282350007,"[-0.05, 0.03]","no"
"8","ethnic7",-0.0169977674357702,-0.019038504071,0.0193568377639908,"[-0.05, 0.02]","no"
"9","ethnic8",-0.0853073057944244,-0.086987614774,0.0863467722878259,"[-0.25, 0.08]","no"
"10","age",0.00439255899398258,0.004505984694,0.000994325327245443,"[0, 0.01]","yes"
"11","educ",-0.0198546966175275,-0.019539901979,0.0039897135392334,"[-0.03, -0.01]","yes"
"12","private",-0.000672974634156337,-0.001733638964,0.00590904127450134,"[-0.01, 0.01]","no"
"13","nchild",0.946660737610597,0.945481724817,0.00863127787181616,"[0.93, 0.96]","yes"
"14","visits",-0.00243139386726658,-0.002301720113,0.00116981117932331,"[0, 0]","yes"
"15","nbl",-0.821822428477349,-0.823955251316,0.0290349473455168,"[-0.88, -0.76]","yes"
"16","sex",-0.00207804146435226,-0.0018147749519,0.00314774462898054,"[-0.01, 0]","no"
"17","tlabor",-0.00786119469253907,-0.008588377976,0.00471393578177244,"[-0.02, 0]","no"
"18","marital2",-0.00528780142446393,-0.005794809389,0.00465409658431922,"[-0.01, 0]","no"
"19","marital3",-0.011802541950535,-0.012957886739,0.00916388977996432,"[-0.03, 0.01]","no"
"20","marital4",-0.011543438414049,-0.01057923370618,0.0183094505096992,"[-0.05, 0.02]","no"
"21","marital5",-0.0235026650507081,-0.030423064346,0.0833179781503631,"[-0.19, 0.14]","no"
"22","marital6",0.0619594165944285,0.063033363627,0.0225451078874033,"[0.02, 0.11]","yes"
"23","marital7",-0.0169730694804488,-0.016570915796,0.0124431861848322,"[-0.04, 0.01]","no"
"24","bx_pxp",-0.00302214137933851,-0.002176191776,0.0105990559855251,"[-0.02, 0.02]","no"
