"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",0.0351419885269299,0.041073621306,0.0260449373692043,"[-0.02, 0.09]","no"
"2","pxp",0.00569586762969782,0.0061006827805,0.00989373309905844,"[-0.01, 0.03]","no"
"3","ethnic2",0.0200122500657849,0.013165342259,0.0333978388685358,"[-0.05, 0.09]","no"
"4","ethnic3",-0.000126240537227753,-0.004751593699,0.0273055016958936,"[-0.05, 0.05]","no"
"5","ethnic4",0.106928945980093,0.109758180354,0.0946069116067746,"[-0.08, 0.29]","no"
"6","ethnic5",-0.00238658032774483,-0.003680314412,0.0230474782370206,"[-0.05, 0.04]","no"
"7","ethnic6",0.0122946033050773,0.010577095532,0.0196382361186687,"[-0.03, 0.05]","no"
"8","ethnic7",0.00879008219876652,0.007722627809,0.0194437676746517,"[-0.03, 0.05]","no"
"9","ethnic8",0.0779763427327992,0.0766422954935,0.0895535347651484,"[-0.1, 0.25]","no"
"10","age",0.00184667974647404,0.001872561198,0.000396337786487244,"[0, 0]","yes"
"11","educ",-0.00676236473929196,-0.007385947441,0.00368504259284401,"[-0.01, 0]","no"
"12","private",-0.00767964817244283,-0.00727496187936,0.00516614017517265,"[-0.02, 0]","no"
"13","labors",1.00915367814971,1.009071990949,0.00223977110849062,"[1, 1.01]","yes"
"14","visits",8.53712334503646e-05,0.000166768484,0.00105257650607265,"[0, 0]","no"
"15","nbl",0.885406254481848,0.886918248668,0.0231652678719403,"[0.84, 0.93]","yes"
"16","sex",0.00149150279569899,0.0014387871517,0.00351414382126603,"[-0.01, 0.01]","no"
"17","tlabor",0.000252484677402776,0.000624473215,0.00472859336814982,"[-0.01, 0.01]","no"
"18","marital2",0.00156367879301142,0.0019497060993,0.00448063702360639,"[-0.01, 0.01]","no"
"19","marital3",0.00139508720109812,0.0025272698678,0.00891232753070906,"[-0.02, 0.02]","no"
"20","marital4",-0.00781121003064702,-0.0060397033068,0.0178722816629006,"[-0.04, 0.03]","no"
"21","marital5",0.0351809357747681,0.041539663414,0.0840191380105308,"[-0.13, 0.2]","no"
"22","marital6",-0.0452414986326192,-0.044388083834,0.00964052014130132,"[-0.06, -0.03]","yes"
"23","marital7",0.0168049200511289,0.015916394707,0.0132259606379763,"[-0.01, 0.04]","no"
"24","bx_pxp",0.00258665140792638,0.0040127549312,0.0143106600501264,"[-0.03, 0.03]","no"
