"","coef","estimate_1","mean_1","se_1","ci_1","significant_1"
"1","bx",0.0481820723652082,0.027095534799,0.131292736877962,"[-0.21, 0.31]","no"
"2","pxp",0.0124574860921173,0.011882122161,0.03905766162249,"[-0.06, 0.09]","no"
"3","ethnic2",0.0704897568726678,0.087316832127,0.240566297666467,"[-0.4, 0.54]","no"
"4","ethnic3",-0.303572586649972,-0.337730245375,0.215735984169007,"[-0.73, 0.12]","no"
"5","ethnic4",-0.410389547935356,-0.403881637621,0.189124818909397,"[-0.78, -0.04]","yes"
"6","ethnic5",-0.273250871109191,-0.268252915764,0.197168361532044,"[-0.66, 0.11]","no"
"7","ethnic6",-0.419976409742408,-0.430904044896,0.180418761202931,"[-0.77, -0.07]","yes"
"8","ethnic7",-0.294083984993271,-0.299988962842,0.197944999170269,"[-0.68, 0.09]","no"
"9","ethnic8",-0.309063585423105,-0.317420309269,0.333452637760662,"[-0.96, 0.34]","no"
"10","age",-0.00263137457707932,-0.00264056670407,0.0028271692240387,"[-0.01, 0]","no"
"11","educ",-0.00289730434565854,-0.0020430741559,0.0226558809514329,"[-0.05, 0.04]","no"
"12","private",0.0300446299970898,0.03194291722643,0.0555494783026004,"[-0.08, 0.14]","no"
"13","labors",0.0745663894959292,0.080436828783,0.0655127342578682,"[-0.05, 0.2]","no"
"14","nchild",-0.0603329297643889,-0.06635311376,0.0616522197309891,"[-0.18, 0.06]","no"
"15","visits",0.0676170884256685,0.068851411703,0.00669720009379927,"[0.05, 0.08]","yes"
"16","nbl",-2.60839412617746,-2.646607635876,0.219906294188242,"[-3.04, -2.18]","yes"
"17","sex",-0.0287531363199844,-0.030454182445,0.0181596066821744,"[-0.06, 0.01]","no"
"18","tlabor",-0.244571432717956,-0.245900976831,0.0336842551268222,"[-0.31, -0.18]","yes"
"19","marital2",0.0766382591374664,0.076608382029,0.0246396374942277,"[0.03, 0.12]","yes"
"20","marital3",0.00874605389689125,0.007634454396,0.0438163548391959,"[-0.08, 0.09]","no"
"21","marital4",-0.104021547118263,-0.111325283191,0.140336378990738,"[-0.38, 0.17]","no"
"22","marital5",0.568696623455327,0.57407167344,0.21560764844113,"[0.15, 0.99]","yes"
"23","marital6",0.424725354337472,0.406143679462,0.14301260599026,"[0.14, 0.71]","yes"
"24","marital7",0.0249405247266638,0.019876600291,0.0570104048376122,"[-0.09, 0.14]","no"
"25","bx_pxp",-0.0183287839656,-0.044299458818,0.101116827165049,"[-0.22, 0.18]","no"
