"","coef","estimate_4","mean_4","se_4","ci_4","significant_4"
"1","bx",-33.9331215191618,-38.2509951096,35.9600155535971,"[-104.41, 36.55]","no"
"2","pxt2",14.3419693881407,11.54363236786,16.7350243827483,"[-18.46, 47.14]","no"
"3","ethnic2",-1.40466989900146,-0.238942958,96.5025452733897,"[-190.55, 187.74]","no"
"4","ethnic3",-9.52891042307392,-15.2556758925,80.1001026367829,"[-166.53, 147.47]","no"
"5","ethnic4",23.6206875947453,22.2159050479,68.5885720448206,"[-110.81, 158.05]","no"
"6","ethnic5",12.9028599660333,7.8331431921,58.1273529335429,"[-101.03, 126.83]","no"
"7","ethnic6",-65.1823427171413,-67.0050037455,44.7860087307217,"[-152.96, 22.6]","no"
"8","ethnic7",-37.9662580352604,-32.3742312033,41.9154934410581,"[-120.12, 44.19]","no"
"9","ethnic8",-46.3859075970551,-56.7310260655,198.956277236584,"[-436.34, 343.57]","no"
"10","age",3.27949606189818,3.1864050476,0.837495715492982,"[1.64, 4.92]","yes"
"11","educ",20.7907493604072,20.31725287,8.84402508228594,"[3.46, 38.13]","yes"
"12","private",144.726618548949,143.3377388322,18.7600185331561,"[107.96, 181.5]","yes"
"13","labors",19.2541479073046,20.8383311945,16.7908491159116,"[-13.66, 52.16]","no"
"14","nchild",9.3836544706863,7.8345731324,16.2892955349211,"[-22.54, 41.31]","no"
"15","visits",19.3549861851446,19.3558133931,2.2791868436066,"[14.89, 23.82]","yes"
"16","nbl",-911.846661341246,-912.354413624,39.1615061111739,"[-988.6, -835.09]","yes"
"17","sex",-103.824404919713,-103.6617532827,5.93421018016439,"[-115.46, -92.19]","yes"
"18","tlabor",-21.7863874823218,-23.1156804625,14.3179203892399,"[-49.85, 6.28]","no"
"19","marital2",48.6204372578101,47.2430888794,10.5412386316157,"[27.96, 69.28]","yes"
"20","marital3",43.7828210609855,43.0556330189,13.4538671454412,"[17.41, 70.15]","yes"
"21","marital4",72.301750756363,74.0356030398,38.6758629903571,"[-3.5, 148.11]","no"
"22","marital5",134.273676478586,113.3950987978,139.235286732542,"[-138.63, 407.17]","no"
"23","marital6",79.9686889724541,96.0760000533,104.058694696832,"[-123.99, 283.92]","no"
"24","marital7",90.8305014670987,87.8049155818,28.4158251534943,"[35.14, 146.53]","yes"
"25","bx_pxt2",-63.0912808714567,-58.8915499955,22.3129036899758,"[-106.82, -19.36]","yes"
