"","coef","estimate_2","mean_2","se_2","ci_2","significant_2"
"1","bx",0.106471943438282,0.049608672361,0.193577780433831,"[-0.27, 0.49]","no"
"2","pxt1",0.0631457811422041,0.059968200325,0.0355948388350065,"[-0.01, 0.13]","no"
"3","pxt2",-0.0417302041161632,-0.056845851084,0.0646445082869831,"[-0.17, 0.08]","no"
"4","pxt3",-0.00556667375239377,-0.008464960581,0.0446927540836885,"[-0.09, 0.08]","no"
"5","ethnic2",0.0803419597090771,0.134161233738,0.243598877026896,"[-0.4, 0.56]","no"
"6","ethnic3",-0.299123183768369,-0.290531602761,0.24758547661219,"[-0.78, 0.19]","no"
"7","ethnic4",-0.402372985433225,-0.354514787621,0.188060970490746,"[-0.77, -0.03]","yes"
"8","ethnic5",-0.266373175387801,-0.250965467504,0.198896263914904,"[-0.66, 0.12]","no"
"9","ethnic6",-0.415911640475652,-0.391953232078,0.178058103313,"[-0.76, -0.07]","yes"
"10","ethnic7",-0.294062473254659,-0.243730230159,0.218409080366906,"[-0.72, 0.13]","no"
"11","ethnic8",-0.313646292693588,-0.29083847161,0.302086954690335,"[-0.91, 0.28]","no"
"12","age",-0.00255518899540984,-0.0030121032058,0.00224227165738232,"[-0.01, 0]","no"
"13","educ",-0.00315573595758679,-0.00025850451,0.0244133348723392,"[-0.05, 0.04]","no"
"14","private",0.0300828221780797,0.010572180116,0.0656357837446487,"[-0.1, 0.16]","no"
"15","labors",0.0742973444676487,0.069526725656,0.0656664058119779,"[-0.05, 0.2]","no"
"16","nchild",-0.0605875832010222,-0.056066265013,0.061112912392582,"[-0.18, 0.06]","no"
"17","visits",0.0676268734135357,0.068959077886,0.00633633477658703,"[0.06, 0.08]","yes"
"18","nbl",-2.60844145690512,-2.636331919413,0.202067180309524,"[-3, -2.21]","yes"
"19","sex",-0.028633936746718,-0.031974859563,0.0163203432725332,"[-0.06, 0]","no"
"20","tlabor",-0.245136931040776,-0.247841422377,0.0311842200481179,"[-0.31, -0.18]","yes"
"21","marital2",0.076835229516247,0.066326141725,0.0278287425522097,"[0.02, 0.13]","yes"
"22","marital3",0.00851863854996608,0.00645379486527,0.0390823468108671,"[-0.07, 0.09]","no"
"23","marital4",-0.0996137729102244,-0.077484844433,0.136925636641856,"[-0.37, 0.17]","no"
"24","marital5",0.577202724918014,0.587596290756,0.223882947204472,"[0.14, 1.02]","yes"
"25","marital6",0.419445218747291,0.427248881994,0.137933959809422,"[0.15, 0.69]","yes"
"26","marital7",0.0231508373234785,0.013930133304,0.063480517867691,"[-0.1, 0.15]","no"
"27","bx_pxt1",-0.141548898461844,-0.134434848853,0.0562784998328046,"[-0.25, -0.03]","yes"
"28","bx_pxt2",-0.120826912944991,-0.130479470474,0.0845782313879986,"[-0.29, 0.04]","no"
"29","bx_pxt3",-0.0594067079408492,-0.05015731001,0.0692271670677171,"[-0.2, 0.08]","no"
